y,ds,yhat,yhat_lower,yhat_upper,cutoff
90,2025-01-01T00:00:00Z,4095.503390901725,2280.741488080493,6061.623533723123,2024-12-31T00:00:00Z
541,2025-01-02T00:00:00Z,2253.1822027252265,417.935742856214,4156.637604023349,2024-12-31T00:00:00Z
563,2025-01-03T00:00:00Z,1152.5289199198837,-636.1707803472113,2979.9613020038287,2024-12-31T00:00:00Z
42,2025-01-04T00:00:00Z,-1043.5396808411192,-2854.234045356806,832.3099388690617,2024-12-31T00:00:00Z
22,2025-01-05T00:00:00Z,-1137.7022905128333,-2870.225692358209,756.848314760752,2024-12-31T00:00:00Z
533,2025-01-06T00:00:00Z,1504.4046573050393,-296.2597352112215,3314.580437780067,2024-12-31T00:00:00Z
712,2025-01-07T00:00:00Z,2042.9504043321442,146.94836991857068,3740.4558794439854,2024-12-31T00:00:00Z
904,2025-01-08T00:00:00Z,1850.130716913357,43.73297345035433,3638.56020988473,2024-12-31T00:00:00Z
1135,2025-01-09T00:00:00Z,1773.40878883788,-125.47564856814287,3504.0965303244884,2024-12-31T00:00:00Z
1270,2025-01-10T00:00:00Z,1814.021955223033,-101.58254802560772,3517.6435994038293,2024-12-31T00:00:00Z
203,2025-01-11T00:00:00Z,-118.92957386588432,-2027.032050350211,1771.86633066474,2024-12-31T00:00:00Z
41,2025-01-12T00:00:00Z,-554.2147040549999,-2404.204756225311,1404.328247299255,2024-12-31T00:00:00Z
1313,2025-01-13T00:00:00Z,1704.7967551216489,-19.93836348161494,3582.1597126701445,2024-12-31T00:00:00Z
1609,2025-01-14T00:00:00Z,2224.0888750835525,389.7792500517336,4049.456807873662,2024-12-31T00:00:00Z
2010,2025-01-15T00:00:00Z,2347.683265517971,566.3051136936748,4263.565836464467,2024-12-31T00:00:00Z
2206,2025-01-16T00:00:00Z,2574.601189425946,758.6218794356236,4496.545382340679,2024-12-31T00:00:00Z
2291,2025-01-17T00:00:00Z,2613.962073055198,788.0871629274385,4491.359068355186,2024-12-31T00:00:00Z
401,2025-01-18T00:00:00Z,419.7360418032172,-1324.6528724827053,2183.942466366956,2024-12-31T00:00:00Z
129,2025-01-19T00:00:00Z,-223.620910225005,-2164.911850709535,1651.1144175708914,2024-12-31T00:00:00Z
2385,2025-01-20T00:00:00Z,2129.9825421488476,271.1720147708403,3964.9991953974136,2024-12-31T00:00:00Z
3051,2025-01-21T00:00:00Z,2972.7507809461567,1166.554934531277,4779.958493032829,2024-12-31T00:00:00Z
2878,2025-01-22T00:00:00Z,3325.4906736273256,1460.897067778158,5092.620800479017,2024-12-31T00:00:00Z
4853,2025-01-23T00:00:00Z,3454.9862376086962,1546.1603901583012,5380.455935532737,2024-12-31T00:00:00Z
5202,2025-01-24T00:00:00Z,3204.2037336469184,1450.919295939788,5078.425829251516,2024-12-31T00:00:00Z
1624,2025-01-25T00:00:00Z,956.2584551089421,-1005.2407764697743,2793.7132147970096,2024-12-31T00:00:00Z
454,2025-01-26T00:00:00Z,843.948224989457,-929.8032280038584,2603.0654038304406,2024-12-31T00:00:00Z
5598,2025-01-27T00:00:00Z,4228.898416779225,2376.1441665788557,6032.300875044901,2024-12-31T00:00:00Z
5264,2025-01-28T00:00:00Z,6074.0831433470885,4312.1230841944025,7769.479573180443,2024-12-31T00:00:00Z
310,2025-01-29T00:00:00Z,6770.481066300195,4975.273135465421,8714.769940101898,2024-12-31T00:00:00Z
255,2025-01-30T00:00:00Z,6265.720930207979,4319.596820658683,8126.117866192024,2024-12-31T00:00:00Z
6041,2025-01-31T00:00:00Z,4549.516462756235,2859.202458597293,6460.311105313927,2024-12-31T00:00:00Z
47,2025-02-01T00:00:00Z,215.37855731051604,-1680.8764487726228,2122.5981617356797,2025-01-31T00:00:00Z
14,2025-02-02T00:00:00Z,-1666.2479859808827,-3581.430789770018,261.94176321439306,2025-01-31T00:00:00Z
454,2025-02-03T00:00:00Z,259.5902767672478,-1537.592638510502,2136.2772887365927,2025-01-31T00:00:00Z
626,2025-02-04T00:00:00Z,1149.8906693501954,-696.9686302320367,3073.483582259827,2025-01-31T00:00:00Z
886,2025-02-05T00:00:00Z,1575.0486238137992,-381.0659607133171,3227.767085758849,2025-01-31T00:00:00Z
1159,2025-02-06T00:00:00Z,1785.5263248192532,-102.09596340675745,3711.36656228055,2025-01-31T00:00:00Z
1342,2025-02-07T00:00:00Z,1623.5353227233907,-451.9563935430948,3437.8556350429576,2025-01-31T00:00:00Z
301,2025-02-08T00:00:00Z,-638.2487182039995,-2536.779524264574,1211.8725870253234,2025-01-31T00:00:00Z
54,2025-02-09T00:00:00Z,-1047.8326441880458,-2925.132988872422,853.0032707364176,2025-01-31T00:00:00Z
1577,2025-02-10T00:00:00Z,1546.846574985757,-254.00437662389155,3358.4728385844096,2025-01-31T00:00:00Z
555,2025-02-11T00:00:00Z,2320.9549435950776,433.930433861392,4204.521843229336,2025-01-31T00:00:00Z
1823,2025-02-12T00:00:00Z,2306.7079219744805,561.0400794625099,4176.503266633331,2025-01-31T00:00:00Z
2210,2025-02-13T00:00:00Z,2281.1435643399063,406.9251397272827,4178.825584311795,2025-01-31T00:00:00Z
2308,2025-02-14T00:00:00Z,2278.831676402734,409.92413694572605,4102.56281237813,2025-01-31T00:00:00Z
