y,ds,yhat,yhat_lower,yhat_upper,cutoff
90,2025-01-01T00:00:00Z,2884.4967779516614,1099.7202382524533,4733.111170575818,2024-12-31T00:00:00Z
541,2025-01-02T00:00:00Z,2565.9740230860357,802.672241098302,4351.225170157479,2024-12-31T00:00:00Z
563,2025-01-03T00:00:00Z,1351.0920205715274,-421.71696464719855,2993.7043226184605,2024-12-31T00:00:00Z
42,2025-01-04T00:00:00Z,-880.1764148727048,-2662.3168867457734,1015.3593043938256,2024-12-31T00:00:00Z
22,2025-01-05T00:00:00Z,-997.1675376726098,-2754.7522076754985,732.4671418091851,2024-12-31T00:00:00Z
533,2025-01-06T00:00:00Z,1773.9122204479647,163.1900916132572,3494.803631093828,2024-12-31T00:00:00Z
712,2025-01-07T00:00:00Z,2019.0720778453258,389.5494707004549,3701.827034055806,2024-12-31T00:00:00Z
904,2025-01-08T00:00:00Z,1864.3566126221365,44.089903513544265,3821.8158949827744,2024-12-31T00:00:00Z
1135,2025-01-09T00:00:00Z,1776.7805272803166,-65.86371090013088,3604.4943808950256,2024-12-31T00:00:00Z
1270,2025-01-10T00:00:00Z,1778.8734084430425,-22.51296039285799,3593.5407327802977,2024-12-31T00:00:00Z
203,2025-01-11T00:00:00Z,-117.50453587526363,-1941.9400954097102,1600.58249604079,2024-12-31T00:00:00Z
41,2025-01-12T00:00:00Z,-539.87595329951,-2263.3026253410503,1244.9671642035478,2024-12-31T00:00:00Z
1313,2025-01-13T00:00:00Z,1852.4695133505109,-0.9732970260895439,3537.3312253539234,2024-12-31T00:00:00Z
1609,2025-01-14T00:00:00Z,2080.2437661182566,412.7037235589116,3786.0124128962816,2024-12-31T00:00:00Z
2010,2025-01-15T00:00:00Z,2262.9997516191706,533.3694992711752,4119.874381367256,2024-12-31T00:00:00Z
2205,2025-01-16T00:00:00Z,2513.987942928169,767.0506708881715,4455.7450969123565,2024-12-31T00:00:00Z
2291,2025-01-17T00:00:00Z,2540.416495200147,815.8320059018985,4245.981280162897,2024-12-31T00:00:00Z
401,2025-01-18T00:00:00Z,384.6632323127001,-1494.7028924214046,2330.1990109418052,2024-12-31T00:00:00Z
129,2025-01-19T00:00:00Z,-256.2194787221629,-1881.8320001808834,1399.392794492896,2024-12-31T00:00:00Z
2385,2025-01-20T00:00:00Z,2235.502786521978,444.8650955457613,4021.2932517237164,2024-12-31T00:00:00Z
3050,2025-01-21T00:00:00Z,2824.685180656755,1101.5983219988714,4502.889143939562,2024-12-31T00:00:00Z
2877,2025-01-22T00:00:00Z,3299.3713458845523,1425.0552385117794,4998.646782081132,2024-12-31T00:00:00Z
4853,2025-01-23T00:00:00Z,3514.446595576336,1706.8115556547796,5503.71133841623,2024-12-31T00:00:00Z
5201,2025-01-24T00:00:00Z,3291.066680084503,1596.0139948194865,5060.342576151857,2024-12-31T00:00:00Z
1624,2025-01-25T00:00:00Z,1102.5830362659503,-674.6613149080802,2847.740663897954,2024-12-31T00:00:00Z
454,2025-01-26T00:00:00Z,1010.2550720716731,-745.1120656650854,2845.0052493546204,2024-12-31T00:00:00Z
5598,2025-01-27T00:00:00Z,4555.799438849814,2796.1315584988115,6326.29530363036,2024-12-31T00:00:00Z
5264,2025-01-28T00:00:00Z,6164.104990032989,4383.491983185151,7785.430065917455,2024-12-31T00:00:00Z
310,2025-01-29T00:00:00Z,5787.409035787938,4042.4914996150537,7536.92294372618,2024-12-31T00:00:00Z
255,2025-01-30T00:00:00Z,5331.590786363819,3708.3137055401753,7036.362758152616,2024-12-31T00:00:00Z
47,2025-02-01T00:00:00Z,-933.4560311011323,-2726.549107385606,824.3996418999096,2025-01-31T00:00:00Z
14,2025-02-02T00:00:00Z,-1204.228303652268,-2908.808893575661,583.1157043513189,2025-01-31T00:00:00Z
454,2025-02-03T00:00:00Z,901.3122358006719,-763.7808530016667,2728.6231634089795,2025-01-31T00:00:00Z
626,2025-02-04T00:00:00Z,1541.3864270866325,-175.0824570084899,3243.9380100843186,2025-01-31T00:00:00Z
886,2025-02-05T00:00:00Z,2013.5595106905657,153.80038415800402,3799.0490115096,2025-01-31T00:00:00Z
1159,2025-02-06T00:00:00Z,2133.4757774885106,507.686463396961,3851.5532583913205,2025-01-31T00:00:00Z
1341,2025-02-07T00:00:00Z,1838.8904676936029,74.31027098339828,3506.1876798961807,2025-01-31T00:00:00Z
