ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-23T00:00:00Z,1992.9987898019085,-2440.486993625564,-2440.486993625564,-2440.486993625564,-2056.770894195286,-2056.770894195286,-2056.770894195286,-383.7160994302779,-383.7160994302779,-383.7160994302779,0,0,0,-3061.340556398183,2191.0599151137967,1992.9987898019085,1992.9987898019085,-447.48820382365557
2022-01-24T00:00:00Z,1993.4342963516733,-138.76971142815117,-138.76971142815117,-138.76971142815117,218.02919767868462,218.02919767868462,218.02919767868462,-356.7989091068358,-356.7989091068358,-356.7989091068358,0,0,0,-1071.4833415311311,4357.225939290466,1993.4342963516733,1993.4342963516733,1854.6645849235222
2022-01-25T00:00:00Z,1993.869802901438,454.8793469973467,454.8793469973467,454.8793469973467,784.9535587720895,784.9535587720895,784.9535587720895,-330.07421177474276,-330.07421177474276,-330.07421177474276,0,0,0,-390.63791749597897,5243.778920568241,1993.869802901438,1993.869802901438,2448.7491498987847
2022-01-26T00:00:00Z,1994.305309451203,497.5745497539598,497.5745497539598,497.5745497539598,801.7803570264914,801.7803570264914,801.7803570264914,-304.2058072725315,-304.2058072725315,-304.2058072725315,0,0,0,-359.3433935345573,5320.040051434753,1994.305309451203,1994.305309451203,2491.8798592051626
2022-01-27T00:00:00Z,1994.7408160009675,552.6281182403153,552.6281182403153,552.6281182403153,832.4274927424007,832.4274927424007,832.4274927424007,-279.7993745020855,-279.7993745020855,-279.7993745020855,0,0,0,-269.6974043471593,5213.078306317345,1994.7408160009675,1994.7408160009675,2547.3689342412827
2022-01-28T00:00:00Z,1995.1763225507323,570.6672613366196,570.6672613366196,570.6672613366196,828.0560808283282,828.0560808283282,828.0560808283282,-257.38881949170855,-257.38881949170855,-257.38881949170855,0,0,0,-263.80089955377565,5459.557693140381,1995.1763225507323,1995.1763225507323,2565.843583887352
2022-01-29T00:00:00Z,1995.6118291004966,-1645.9003934476914,-1645.9003934476914,-1645.9003934476914,-1408.4757928593917,-1408.4757928593917,-1408.4757928593917,-237.42460058829974,-237.42460058829974,-237.42460058829974,0,0,0,-2472.2501194165598,2973.11769011779,1995.6118291004966,1995.6118291004966,349.7114356528052
2022-01-30T00:00:00Z,1996.0473356502614,-2277.0351923421417,-2277.0351923421417,-2277.0351923421417,-2056.7708941979517,-2056.7708941979517,-2056.7708941979517,-220.26429814418938,-220.26429814418938,-220.26429814418938,0,0,0,-2993.1905243228393,2410.0579901777705,1996.0473356502614,1996.0473356502614,-280.9878566918803
2022-01-31T00:00:00Z,1996.4828422000262,11.863559565428302,11.863559565428302,11.863559565428302,218.02919768042568,218.02919768042568,218.02919768042568,-206.16563811499745,-206.16563811499745,-206.16563811499745,0,0,0,-746.0427516204348,4849.675555561561,1996.4828422000262,1996.4828422000262,2008.3464017654544
2022-02-01T00:00:00Z,1996.9183487497908,589.6714425461273,589.6714425461273,589.6714425461273,784.9535587722526,784.9535587722526,784.9535587722526,-195.28211622612554,-195.28211622612554,-195.28211622612554,0,0,0,-123.90428510927707,5385.612608663592,1996.9183487497908,1996.9183487497908,2586.589791295918
2022-02-02T00:00:00Z,1997.3538552995556,614.119053625483,614.119053625483,614.119053625483,801.7803570266719,801.7803570266719,801.7803570266719,-187.661303401189,-187.661303401189,-187.661303401189,0,0,0,32.771461988924315,5523.704656456842,1997.3538552995556,1997.3538552995556,2611.4729089250386
2022-02-03T00:00:00Z,1997.7893618493204,649.1816470495963,649.1816470495963,649.1816470495963,832.4274927430874,832.4274927430874,832.4274927430874,-183.24584569349122,-183.24584569349122,-183.24584569349122,0,0,0,-46.04120767058759,5535.99241552849,1997.7893618493204,1997.7893618493204,2646.971008898917
2022-02-04T00:00:00Z,1998.2248683990852,646.1789761062291,646.1789761062291,646.1789761062291,828.0560808343911,828.0560808343911,828.0560808343911,-181.87710472816184,-181.87710472816184,-181.87710472816184,0,0,0,-43.46769885555693,5452.293638998166,1998.2248683990852,1998.2248683990852,2644.4038445053143
