ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-12T00:00:00Z,1972.2605736572807,-281.9476835808305,-281.9476835808305,-281.9476835808305,-548.4438346876428,-548.4438346876428,-548.4438346876428,753.171241762928,753.171241762928,753.171241762928,-486.67509065611563,-486.67509065611563,-486.67509065611563,0,0,0,-341.16477071334555,3908.5535906809346,1972.2605736572807,1972.2605736572807,1690.3128900764502
2022-01-13T00:00:00Z,1972.7946693355454,-50.92703850662305,-50.92703850662305,-50.92703850662305,-375.3438336123281,-375.3438336123281,-375.3438336123281,838.0700496429929,838.0700496429929,838.0700496429929,-513.6532545372878,-513.6532545372878,-513.6532545372878,0,0,0,-104.26058039079454,4016.8948727624447,1972.7946693355454,1972.7946693355454,1921.8676308289223
2022-01-14T00:00:00Z,1973.3287650138097,123.9832225619986,123.9832225619986,123.9832225619986,-214.35452304994044,-214.35452304994044,-214.35452304994044,870.9616165857904,870.9616165857904,870.9616165857904,-532.6238709738512,-532.6238709738512,-532.6238709738512,0,0,0,-10.319011245114636,4332.154703450442,1973.3287650138097,1973.3287650138097,2097.3119875758084
2022-01-15T00:00:00Z,1973.8628606920745,-2122.244001259126,-2122.244001259126,-2122.244001259126,-169.61252004468471,-169.61252004468471,-169.61252004468471,-1408.9806679087508,-1408.9806679087508,-1408.9806679087508,-543.6508133056906,-543.6508133056906,-543.6508133056906,0,0,0,-2274.2084995442688,2078.9387959479145,1973.8628606920745,1973.8628606920745,-148.3811405670515
2022-01-16T00:00:00Z,1974.396956370339,-2822.8071442428964,-2822.8071442428964,-2822.8071442428964,-214.8609637051353,-214.8609637051353,-214.8609637051353,-2060.9747470667407,-2060.9747470667407,-2060.9747470667407,-546.9714334710201,-546.9714334710201,-546.9714334710201,0,0,0,-3020.6489295102133,1345.9476546737174,1974.396956370339,1974.396956370339,-848.4101878725573
2022-01-17T00:00:00Z,1974.9310520486038,-533.5756790885118,-533.5756790885118,-533.5756790885118,-205.0902322242864,-205.0902322242864,-205.0902322242864,214.502194050325,214.502194050325,214.502194050325,-542.9876409145502,-542.9876409145502,-542.9876409145502,0,0,0,-700.7614083884963,3383.777836815141,1974.9310520486038,1974.9310520486038,1441.355372960092
2022-01-18T00:00:00Z,1975.465147726868,229.86711560300094,229.86711560300094,229.86711560300094,-31.130298692709662,-31.130298692709662,-31.130298692709662,793.2503129427888,793.2503129427888,793.2503129427888,-532.2528986470782,-532.2528986470782,-532.2528986470782,0,0,0,257.45784366107705,4428.816221420804,1975.465147726868,1975.465147726868,2205.332263329869
2022-01-19T00:00:00Z,1975.9992434051328,484.8642659951581,484.8642659951581,484.8642659951581,247.14852546165883,247.14852546165883,247.14852546165883,753.1712417633235,753.1712417633235,753.1712417633235,-515.4555012298242,-515.4555012298242,-515.4555012298242,0,0,0,442.559238067116,4722.384049122987,1975.9992434051328,1975.9992434051328,2460.863509400291
2022-01-20T00:00:00Z,1976.5333390833973,794.3087092553278,794.3087092553278,794.3087092553278,449.6372563217951,449.6372563217951,449.6372563217951,838.070049643705,838.070049643705,838.070049643705,-493.3985967101725,-493.3985967101725,-493.3985967101725,0,0,0,741.993655056746,4874.176435436266,1976.5333390833973,1976.5333390833973,2770.8420483387254
2022-01-21T00:00:00Z,1977.067434761662,887.7605354024219,887.7605354024219,887.7605354024219,483.7764178759982,483.7764178759982,483.7764178759982,870.9616165843856,870.9616165843856,870.9616165843856,-466.977499057962,-466.977499057962,-466.977499057962,0,0,0,722.7474266172497,5187.469828118937,1977.067434761662,1977.067434761662,2864.827970164084
2022-01-22T00:00:00Z,1977.6015304399264,-1342.1772170924128,-1342.1772170924128,-1342.1772170924128,503.95835800589697,503.95835800589697,503.95835800589697,-1408.9806679114804,-1408.9806679114804,-1408.9806679114804,-437.1549071868294,-437.1549071868294,-437.1549071868294,0,0,0,-1507.7184373865748,2743.5626923290056,1977.6015304399264,1977.6015304399264,635.4243133475136
2022-01-23T00:00:00Z,1978.135626118191,-1638.5526052175712,-1638.5526052175712,-1638.5526052175712,827.3568411671006,827.3568411671006,827.3568411671006,-2060.9747470676293,-2060.9747470676293,-2060.9747470676293,-404.9346993170428,-404.9346993170428,-404.9346993170428,0,0,0,-1968.1972948418545,2371.9673044383608,1978.135626118191,1978.135626118191,339.5830209006199
2022-01-24T00:00:00Z,1978.6697217964556,1475.7559607599417,1475.7559607599417,1475.7559607599417,1632.588772591287,1632.588772591287,1632.588772591287,214.5021940426863,214.5021940426863,214.5021940426863,-371.33500587403176,-371.33500587403176,-371.33500587403176,0,0,0,1251.732720794856,5598.793123958527,1978.6697217964556,1978.6697217964556,3454.425682556397
2022-01-25T00:00:00Z,1979.2038174747202,3154.0904584132136,3154.0904584132136,3154.0904584132136,2698.201424892273,2698.201424892273,2698.201424892273,793.2503129421543,793.2503129421543,793.2503129421543,-337.36127942121516,-337.36127942121516,-337.36127942121516,0,0,0,2985.857592200598,7216.514203732844,1979.2038174747202,1979.2038174747202,5133.2942758879335
