ds,trend,cap,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,is_final_2ld,is_final_2ld_lower,is_final_2ld_upper,is_final_day,is_final_day_lower,is_final_day_upper,is_final_week,is_final_week_lower,is_final_week_upper,is_first_2days,is_first_2days_lower,is_first_2days_upper,is_first_day,is_first_day_lower,is_first_day_upper,is_first_week,is_first_week_lower,is_first_week_upper,MCO_1,MCO_1_lower,MCO_1_upper,MCO_2,MCO_2_lower,MCO_2_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AA,Raya_AA_lower,Raya_AA_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-11T00:00:00Z,1866.214163554817,2500,-203.42215287855393,-203.42215287855393,-203.42215287855393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-514.0858204778119,-514.0858204778119,-514.0858204778119,0,0,0,0,0,0,740.9350044993973,740.9350044993973,740.9350044993973,-430.2713369001394,-430.2713369001394,-430.2713369001394,0,0,0,287.7713784402406,3126.963277335346,1866.214163554817,1866.214163554817,1662.792010676263
2022-01-12T00:00:00Z,1867.5029689736357,2500,-113.39256743836067,-113.39256743836067,-113.39256743836067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-406.151496513906,-406.151496513906,-406.151496513906,0,0,0,0,0,0,776.2088254645138,776.2088254645138,776.2088254645138,-483.44989638896874,-483.44989638896874,-483.44989638896874,0,0,0,331.60878902378795,3269.9338259784804,1867.5029689736357,1867.5029689736357,1754.110401535275
2022-01-13T00:00:00Z,1868.7900400329204,2500,30.005022924617773,30.005022924617773,30.005022924617773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-270.4666763349044,-270.4666763349044,-270.4666763349044,0,0,0,0,0,0,827.1121520053778,827.1121520053778,827.1121520053778,-526.6404527458558,-526.6404527458558,-526.6404527458558,0,0,0,425.5940041998359,3399.3314020888015,1868.7900400329204,1868.7900400329204,1898.7950629575382
2022-01-14T00:00:00Z,1870.0753754589646,2500,89.28380100924326,89.28380100924326,89.28380100924326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.7776924638006,-156.7776924638006,-156.7776924638006,0,0,0,0,0,0,805.3230721496834,805.3230721496834,805.3230721496834,-559.2615786766397,-559.2615786766397,-559.2615786766397,0,0,0,566.7868991110992,3394.8257541559087,1870.0753754589646,1870.0753754589646,1959.3591764682078
2022-01-15T00:00:00Z,1871.358973994373,2500,-2187.489401617467,-2187.489401617467,-2187.489401617467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-121.63425341299119,-121.63425341299119,-121.63425341299119,0,0,0,0,0,0,-1484.8850128330052,-1484.8850128330052,-1484.8850128330052,-580.9701353714701,-580.9701353714701,-580.9701353714701,0,0,0,-1758.7836851387453,1111.8781234976102,1871.358973994373,1871.358973994373,-316.1304276230942
2022-01-16T00:00:00Z,1872.640834398036,2500,-2713.3403861229203,-2713.3403861229203,-2713.3403861229203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46.5129622741129,-46.5129622741129,-46.5129622741129,0,0,0,0,0,0,-2075.1593969896503,-2075.1593969896503,-2075.1593969896503,-591.6680268591572,-591.6680268591572,-591.6680268591572,0,0,0,-2436.8138915487975,511.85481868372557,1872.640834398036,1872.640834398036,-840.6995517248843
2022-01-17T00:00:00Z,1873.9209554451008,2500,-125.52203893199226,-125.52203893199226,-125.52203893199226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.51558787407008,55.51558787407008,55.51558787407008,0,0,0,0,0,0,410.46535571384214,410.46535571384214,410.46535571384214,-591.5029825199045,-591.5029825199045,-591.5029825199045,0,0,0,455.63455351082416,3230.201225227706,1873.9209554451008,1873.9209554451008,1748.3989165131086
2022-01-18T00:00:00Z,1875.1993359269434,2500,-1554.1241445415205,-1554.1241445415205,-1554.1241445415205,0,0,0,0,0,0,0,0,0,-1799.2206219342527,-1799.2206219342527,-1799.2206219342527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1799.2206219342527,-1799.2206219342527,-1799.2206219342527,85.02481911438323,85.02481911438323,85.02481911438323,0,0,0,0,0,0,740.9350044993527,740.9350044993527,740.9350044993527,-580.8633462210041,-580.8633462210041,-580.8633462210041,0,0,0,-1118.6478720149817,1855.9810103286309,1875.1993359269434,1875.1993359269434,321.07519138542284
2022-01-19T00:00:00Z,1876.4759746511395,2500,420.3868057651508,420.3868057651508,420.3868057651508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.54498391012532,204.54498391012532,204.54498391012532,0,0,0,0,0,0,776.208825464701,776.208825464701,776.208825464701,-560.3670036096755,-560.3670036096755,-560.3670036096755,0,0,0,732.1867164992245,3767.983326263633,1876.4759746511395,1876.4759746511395,2296.86278041629
2022-01-20T00:00:00Z,1877.7508704414379,2500,726.3459064077024,726.3459064077024,726.3459064077024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.0784833734784,430.0784833734784,430.0784833734784,0,0,0,0,0,0,827.1121520061954,827.1121520061954,827.1121520061954,-530.8447289719711,-530.8447289719711,-530.8447289719711,0,0,0,987.5052243231379,3963.4208685464337,1877.7508704414379,1877.7508704414379,2604.09677684914
2022-01-21T00:00:00Z,1879.0240221377298,2500,872.1163050962923,872.1163050962923,872.1163050962923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.1116087250712,560.1116087250712,560.1116087250712,0,0,0,0,0,0,805.3230721480767,805.3230721480767,805.3230721480767,-493.3183757768557,-493.3183757768557,-493.3183757768557,0,0,0,1280.3576831318942,4273.515151455647,1879.0240221377298,1879.0240221377298,2751.140327234022
2022-01-22T00:00:00Z,1880.2954285960213,2500,-1250.4350809582309,-1250.4350809582309,-1250.4350809582309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.4243986984534,683.4243986984534,683.4243986984534,0,0,0,0,0,0,-1484.88501283603,-1484.88501283603,-1484.88501283603,-448.9744668206541,-448.9744668206541,-448.9744668206541,0,0,0,-843.0216067907933,1967.9897170154325,1880.2954285960213,1880.2954285960213,629.8603476377905
2022-01-23T00:00:00Z,1881.5650886884023,2500,-1625.3726974388524,-1625.3726974388524,-1625.3726974388524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848.9205568213666,848.9205568213666,848.9205568213666,0,0,0,0,0,0,-2075.159396990764,-2075.159396990764,-2075.159396990764,-399.1338572694548,-399.1338572694548,-399.1338572694548,0,0,0,-1287.7427620009823,1729.0018181205278,1881.5650886884023,1881.5650886884023,256.1923912495499
2022-01-24T00:00:00Z,1882.8330013030184,2500,1030.7887005849473,1030.7887005849473,1030.7887005849473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965.5415886645076,965.5415886645076,965.5415886645076,0,0,0,0,0,0,410.46535570627054,410.46535570627054,410.46535570627054,-345.21824378583125,-345.21824378583125,-345.21824378583125,0,0,0,1526.7448735412556,4418.9522683633895,1882.8330013030184,1882.8330013030184,2913.6217018879656
2022-01-25T00:00:00Z,1884.09916534404,2500,1730.7376141639495,1730.7376141639495,1730.7376141639495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278.5169823390054,1278.5169823390054,1278.5169823390054,0,0,0,0,0,0,740.9350044987992,740.9350044987992,740.9350044987992,-288.7143726738558,-288.7143726738558,-288.7143726738558,0,0,0,2305.349705785367,4986.608868637578,1884.09916534404,1884.09916534404,3614.8367795079894
2022-01-26T00:00:00Z,1885.363579731635,2500,2176.758873941858,2176.758873941858,2176.758873941858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1631.686905968623,1631.686905968623,1631.686905968623,0,0,0,0,0,0,776.2088254644838,776.2088254644838,776.2088254644838,-231.1368574912489,-231.1368574912489,-231.1368574912489,0,0,0,2716.0385205706057,5512.917594410304,1885.363579731635,1885.363579731635,4062.1224536734926
2022-01-27T00:00:00Z,1886.626243401935,2500,2810.2699769629467,2810.2699769629467,2810.2699769629467,0,0,0,0,0,0,918.112392220038,918.112392220038,918.112392220038,0,0,0,0,0,0,0,0,0,918.112392220038,918.112392220038,918.112392220038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239.0359830959403,1239.0359830959403,1239.0359830959403,0,0,0,0,0,0,827.1121520070124,827.1121520070124,827.1121520070124,-173.9905503600435,-173.9905503600435,-173.9905503600435,0,0,0,3244.5165800776126,6113.291641064101,1886.626243401935,1886.626243401935,4696.896220364882
2022-01-28T00:00:00Z,1887.8871553070069,2500,1870.4971444126522,1870.4971444126522,1870.4971444126522,0,0,0,0,0,0,918.112392220038,918.112392220038,918.112392220038,0,0,0,0,0,0,0,0,0,918.112392220038,918.112392220038,918.112392220038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.7951004179911,265.7951004179911,265.7951004179911,0,0,0,0,0,0,805.3230721464695,805.3230721464695,805.3230721464695,-118.73342037184638,-118.73342037184638,-118.73342037184638,0,0,0,2315.3247041995887,5293.912854389724,1887.8871553070069,1887.8871553070069,3758.384299719659
2022-01-29T00:00:00Z,1889.1463144148233,2500,-912.1254171397447,-912.1254171397447,-912.1254171397447,0,0,0,0,0,0,918.112392220038,918.112392220038,918.112392220038,0,0,0,0,0,0,0,0,0,918.112392220038,918.112392220038,918.112392220038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-278.61191968921645,-278.61191968921645,-278.61191968921645,0,0,0,0,0,0,-1484.8850128390552,-1484.8850128390552,-1484.8850128390552,-66.7408768315114,-66.7408768315114,-66.7408768315114,0,0,0,-547.6455273816314,2381.905107890744,1889.1463144148233,1889.1463144148233,977.0208972750786
2022-01-30T00:00:00Z,1890.4037197092293,2500,895.7573785149503,895.7573785149503,895.7573785149503,0,0,0,0,0,0,3294.996856734868,3294.996856734868,3294.996856734868,0,0,0,2376.8844645148297,2376.8844645148297,2376.8844645148297,0,0,0,918.112392220038,918.112392220038,918.112392220038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-304.8076461703076,-304.8076461703076,-304.8076461703076,0,0,0,0,0,0,-2075.15939699389,-2075.15939699389,-2075.15939699389,-19.272435055720035,-19.272435055720035,-19.272435055720035,0,0,0,1359.5204762584272,4323.280164561867,1890.4037197092293,1890.4037197092293,2786.1610982241796
2022-01-31T00:00:00Z,1891.659370189913,2500,5992.70046756991,5992.70046756991,5992.70046756991,0,0,0,0,0,0,5895.442441085616,5895.442441085616,5895.442441085616,0,0,0,0,0,0,4977.330048865579,4977.330048865579,4977.330048865579,918.112392220038,918.112392220038,918.112392220038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-335.765770100602,-335.765770100602,-335.765770100602,0,0,0,0,0,0,410.4653557080118,410.4653557080118,410.4653557080118,22.55844087688391,22.55844087688391,22.55844087688391,0,0,0,6450.871945265144,9467.269567119482,1891.659370189913,1891.659370189913,7884.359837759823
