y,ds,yhat,yhat_lower,yhat_upper,cutoff
90,2025-01-01T00:00:00Z,489.9083950558145,-848.519204489264,1777.1060361023506,2024-12-31T00:00:00Z
541,2025-01-02T00:00:00Z,1781.9309043814992,431.2355977018098,3172.4029293164353,2024-12-31T00:00:00Z
563,2025-01-03T00:00:00Z,1824.3363614929262,553.7629875268981,3243.3013196397383,2024-12-31T00:00:00Z
42,2025-01-04T00:00:00Z,-553.2535472037421,-1820.6219300398404,692.6113262738648,2024-12-31T00:00:00Z
22,2025-01-05T00:00:00Z,-1122.7540737535069,-2583.6600143208602,252.3198516700036,2024-12-31T00:00:00Z
533,2025-01-06T00:00:00Z,1409.5221167157506,145.70146761918932,2838.4546746791852,2024-12-31T00:00:00Z
712,2025-01-07T00:00:00Z,1643.589608110153,281.77611373234623,3007.2880782277266,2024-12-31T00:00:00Z
904,2025-01-08T00:00:00Z,2144.458727085678,732.1861437722233,3564.3445417896414,2024-12-31T00:00:00Z
1135,2025-01-09T00:00:00Z,1968.4052996320306,419.63955126378346,3390.4799928556527,2024-12-31T00:00:00Z
1270,2025-01-10T00:00:00Z,1907.4379748793635,487.3250757763398,3292.97653050414,2024-12-31T00:00:00Z
203,2025-01-11T00:00:00Z,-192.5700541584697,-1555.4417577184104,1309.535239105853,2024-12-31T00:00:00Z
41,2025-01-12T00:00:00Z,-683.3747381081685,-2016.2185225500502,634.0203432430918,2024-12-31T00:00:00Z
1313,2025-01-13T00:00:00Z,1793.6151195435605,390.8489449997388,3166.4561209169724,2024-12-31T00:00:00Z
1609,2025-01-14T00:00:00Z,2186.803921279124,926.628390642726,3648.134983267357,2024-12-31T00:00:00Z
2010,2025-01-15T00:00:00Z,2411.1613516577295,1042.1771810460423,3729.8603744270677,2024-12-31T00:00:00Z
2206,2025-01-16T00:00:00Z,2560.0249149650563,1152.168477419008,3877.3394603896654,2024-12-31T00:00:00Z
2291,2025-01-17T00:00:00Z,2453.1352297488193,1021.2147484344341,3957.4402686801673,2024-12-31T00:00:00Z
401,2025-01-18T00:00:00Z,292.96689820278357,-1134.801659381342,1645.8861908580684,2024-12-31T00:00:00Z
129,2025-01-19T00:00:00Z,-123.70816705180641,-1519.661190049051,1229.5730475160349,2024-12-31T00:00:00Z
2385,2025-01-20T00:00:00Z,2388.849480134096,1111.317298568017,3806.2904353404947,2024-12-31T00:00:00Z
3051,2025-01-21T00:00:00Z,2849.6056878697846,1477.1214777027733,4152.621160450321,2024-12-31T00:00:00Z
2878,2025-01-22T00:00:00Z,3172.5428016303067,1784.610063556487,4550.622444704367,2024-12-31T00:00:00Z
4853,2025-01-23T00:00:00Z,3318.318636250415,1854.9338720672467,4679.588762845028,2024-12-31T00:00:00Z
5202,2025-01-24T00:00:00Z,3270.1825964670697,1877.138106715186,4609.796971972604,2024-12-31T00:00:00Z
1624,2025-01-25T00:00:00Z,1208.6172458576402,-226.9354506642162,2601.5966192718997,2024-12-31T00:00:00Z
454,2025-01-26T00:00:00Z,683.7846821447952,-684.7764194683215,2131.439128005489,2024-12-31T00:00:00Z
5598,2025-01-27T00:00:00Z,4451.541488441013,3008.639106840249,5761.816858958335,2024-12-31T00:00:00Z
5264,2025-01-28T00:00:00Z,5222.948489252003,3813.102725666353,6620.312729860175,2024-12-31T00:00:00Z
310,2025-01-29T00:00:00Z,4407.938929136508,3171.6816172743456,5816.3511153252375,2024-12-31T00:00:00Z
255,2025-01-30T00:00:00Z,5918.605475969908,4425.987365009187,7231.254080457261,2024-12-31T00:00:00Z
47,2025-02-01T00:00:00Z,-2392.269238439906,-3724.2421250839984,-1088.7105735523385,2025-01-31T00:00:00Z
14,2025-02-02T00:00:00Z,-1419.460909959164,-2767.86272558337,141.88626057593083,2025-01-31T00:00:00Z
454,2025-02-03T00:00:00Z,1223.4121303038382,-118.31733860951607,2646.140201318418,2025-01-31T00:00:00Z
626,2025-02-04T00:00:00Z,1535.5272836820486,104.52585069401847,2971.241318822283,2025-01-31T00:00:00Z
886,2025-02-05T00:00:00Z,1611.4139058124028,78.68067870262448,3065.4268337389885,2025-01-31T00:00:00Z
1159,2025-02-06T00:00:00Z,1626.416702681724,204.52378577359298,2993.3158422325287,2025-01-31T00:00:00Z
1342,2025-02-07T00:00:00Z,1370.4298511500374,-43.876892218998876,2682.0132357461084,2025-01-31T00:00:00Z
301,2025-02-08T00:00:00Z,-298.8212473593285,-1750.0211744629316,1069.7737903001625,2025-01-31T00:00:00Z
54,2025-02-09T00:00:00Z,-791.1709936286638,-2296.6963205168872,605.9115851510247,2025-01-31T00:00:00Z
1577,2025-02-10T00:00:00Z,1877.2098172663354,443.308612538195,3220.2324695828097,2025-01-31T00:00:00Z
555,2025-02-11T00:00:00Z,693.56172556621,-678.0389545342847,2089.209132224766,2025-01-31T00:00:00Z
1823,2025-02-12T00:00:00Z,2347.4910739160323,1052.500347649911,3760.167792629143,2025-01-31T00:00:00Z
2210,2025-02-13T00:00:00Z,2320.9011006684536,867.8853196980275,3804.268403602811,2025-01-31T00:00:00Z
2308,2025-02-14T00:00:00Z,2325.9366631956345,1001.5136005563555,3835.862846210105,2025-01-31T00:00:00Z
485,2025-02-15T00:00:00Z,360.5587663840445,-971.9028291491721,1737.4119709936597,2025-01-31T00:00:00Z
118,2025-02-16T00:00:00Z,-57.7102355255015,-1419.683472795352,1267.7143955513538,2025-01-31T00:00:00Z
2482,2025-02-17T00:00:00Z,2418.786529246759,1000.2175287941988,3868.567449352206,2025-01-31T00:00:00Z
2913,2025-02-18T00:00:00Z,2816.7250229955716,1332.7862647730674,4171.993802407234,2025-01-31T00:00:00Z
3106,2025-02-19T00:00:00Z,2899.9267720003472,1454.135820520788,4375.458239969056,2025-01-31T00:00:00Z
3104,2025-02-20T00:00:00Z,2915.969886922565,1482.962384922118,4311.131212779154,2025-01-31T00:00:00Z
3309,2025-02-21T00:00:00Z,2995.5684852120694,1650.1259619326624,4353.370206512501,2025-01-31T00:00:00Z
732,2025-02-22T00:00:00Z,1069.760128541865,-293.96643873316896,2527.2411628457485,2025-01-31T00:00:00Z
202,2025-02-23T00:00:00Z,686.346778811627,-789.367684649247,1983.1931894918098,2025-01-31T00:00:00Z
3545,2025-02-24T00:00:00Z,4528.341294425152,3129.9407510283445,5893.624100203108,2025-01-31T00:00:00Z
4868,2025-02-25T00:00:00Z,4864.737950991613,3444.538389658943,6254.2799915117475,2025-01-31T00:00:00Z
6187,2025-02-26T00:00:00Z,4815.820308104065,3437.97276732495,6246.676461796996,2025-01-31T00:00:00Z
8082,2025-02-27T00:00:00Z,7205.953331587209,5810.394367004897,8532.339732805218,2025-01-31T00:00:00Z
14838,2025-02-28T00:00:00Z,9711.902750581663,8216.693551754326,11031.762994285516,2025-01-31T00:00:00Z
74,2025-03-01T00:00:00Z,981.3637409418038,-347.3199738227052,2395.54773572901,2025-01-31T00:00:00Z
27,2025-03-02T00:00:00Z,-667.0392106124705,-2018.7018725784174,618.8625457142962,2025-01-31T00:00:00Z
74,2025-03-01T00:00:00Z,1323.427277613641,-104.23354185017105,2725.520177635784,2025-02-28T00:00:00Z
27,2025-03-02T00:00:00Z,-625.0218229208244,-1977.9939019765939,718.0271929985455,2025-02-28T00:00:00Z
378,2025-03-03T00:00:00Z,1312.9511236810567,-128.4328166433247,2640.5689709038834,2025-02-28T00:00:00Z
666,2025-03-04T00:00:00Z,1721.299332615355,380.37328209378956,3130.5824777977336,2025-02-28T00:00:00Z
793,2025-03-05T00:00:00Z,1833.185400880346,364.3891518891553,3169.715663254785,2025-02-28T00:00:00Z
1426,2025-03-06T00:00:00Z,1814.7333448447837,409.6957333301254,3185.7453981377334,2025-02-28T00:00:00Z
1674,2025-03-07T00:00:00Z,1784.5372604245558,314.50128944762287,3075.371072172335,2025-02-28T00:00:00Z
310,2025-03-08T00:00:00Z,321.3519316893194,-1213.8119099288415,1810.343880208105,2025-02-28T00:00:00Z
109,2025-03-09T00:00:00Z,-198.33130528484753,-1577.2539939864912,1309.553409570537,2025-02-28T00:00:00Z
1900,2025-03-10T00:00:00Z,2107.450017945086,690.7118072194104,3523.129990332948,2025-02-28T00:00:00Z
2294,2025-03-11T00:00:00Z,2354.8833993700273,1023.5102170401572,3762.7546727236077,2025-02-28T00:00:00Z
2576,2025-03-12T00:00:00Z,2528.571158580475,1225.3342962734205,3809.8375106949675,2025-02-28T00:00:00Z
2235,2025-03-13T00:00:00Z,2696.808580082452,1324.5157999813525,4109.80712717534,2025-02-28T00:00:00Z
3818,2025-03-14T00:00:00Z,2658.058403875417,1363.7549093245366,3995.6161434776463,2025-02-28T00:00:00Z
927,2025-03-15T00:00:00Z,463.28800408623874,-897.4822238756462,1920.2490176222252,2025-02-28T00:00:00Z
263,2025-03-16T00:00:00Z,7.751579233728535,-1355.4319582067783,1486.197278425815,2025-02-28T00:00:00Z
4812,2025-03-17T00:00:00Z,2629.305063629289,1297.223866345812,4007.555022206044,2025-02-28T00:00:00Z
