ds,trend,cap,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,is_final_2ld,is_final_2ld_lower,is_final_2ld_upper,is_final_day,is_final_day_lower,is_final_day_upper,is_final_week,is_final_week_lower,is_final_week_upper,is_first_2days,is_first_2days_lower,is_first_2days_upper,is_first_day,is_first_day_lower,is_first_day_upper,is_first_week,is_first_week_lower,is_first_week_upper,MCO_1,MCO_1_lower,MCO_1_upper,MCO_2,MCO_2_lower,MCO_2_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AA,Raya_AA_lower,Raya_AA_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-01T00:00:00Z,1754.1996056196103,2500,-5487.702269227553,-5487.702269227553,-5487.702269227553,0,0,0,0,0,0,-2421.7886551130873,-2421.7886551130873,-2421.7886551130873,-1719.5399904102949,-1719.5399904102949,-1719.5399904102949,0,0,0,0,0,0,0,0,0,0,0,0,-1183.9123502689351,-1183.9123502689351,-1183.9123502689351,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,-1719.5399904102949,-1719.5399904102949,-1719.5399904102949,-277.16506406659784,-277.16506406659784,-277.16506406659784,0,0,0,0,0,0,-1475.2972095292891,-1475.2972095292891,-1475.2972095292891,406.0886498917164,406.0886498917164,406.0886498917164,0,0,0,-5195.102180659,-2269.175554145786,1754.1996056196103,1754.1996056196103,-3733.502663607943
2022-01-02T00:00:00Z,1757.2924143643543,2500,-4708.155752428023,-4708.155752428023,-4708.155752428023,0,0,0,0,0,0,-2713.2165973935375,-2713.2165973935375,-2713.2165973935375,0,0,0,0,0,0,0,0,0,0,0,0,-1475.3402925493851,-1475.3402925493851,-1475.3402925493851,0,0,0,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,0,0,0,-256.83079426284945,-256.83079426284945,-256.83079426284945,0,0,0,0,0,0,-2063.781934760708,-2063.781934760708,-2063.781934760708,325.67357398907154,325.67357398907154,325.67357398907154,0,0,0,-4406.3680498242975,-1474.2032665492475,1757.2924143643543,1757.2924143643543,-2950.8633380636693
2022-01-03T00:00:00Z,1760.377805060056,2500,-805.1321131827082,-805.1321131827082,-805.1321131827082,0,0,0,0,0,0,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,0,0,0,-207.79284250831807,-207.79284250831807,-207.79284250831807,0,0,0,0,0,0,399.1989654461506,399.1989654461506,399.1989654461506,241.33806872361163,241.33806872361163,241.33806872361163,0,0,0,-536.3749499631275,2441.7753482554053,1760.377805060056,1760.377805060056,955.2456918773479
2022-01-04T00:00:00Z,1763.4557505441642,2500,-643.9011965533502,-643.9011965533502,-643.9011965533502,0,0,0,0,0,0,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,0,0,0,-295.9732494843985,-295.9732494843985,-295.9732494843985,0,0,0,0,0,0,735.3697641467301,735.3697641467301,735.3697641467301,154.57859362847046,154.57859362847046,154.57859362847046,0,0,0,-324.43845629448924,2617.0076607915353,1763.4557505441642,1763.4557505441642,1119.554553990814
2022-01-05T00:00:00Z,1766.5262240450995,2500,-950.9449972808223,-950.9449972808223,-950.9449972808223,0,0,0,0,0,0,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,0,0,0,-578.1965984275364,-578.1965984275364,-578.1965984275364,0,0,0,0,0,0,798.1810287878093,798.1810287878093,798.1810287878093,66.94687720305672,66.94687720305672,66.94687720305672,0,0,0,-618.7498137824871,2361.3991996219243,1766.5262240450995,1766.5262240450995,815.5812267642772
2022-01-06T00:00:00Z,1769.589199182078,2500,-1361.0389536071214,-1361.0389536071214,-1361.0389536071214,0,0,0,0,0,0,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,0,0,0,-911.629652122646,-911.629652122646,-911.629652122646,0,0,0,0,0,0,808.4517765759941,808.4517765759941,808.4517765759941,-19.98477321631737,-19.98477321631737,-19.98477321631737,0,0,0,-1020.5081285909453,1877.0103743390744,1769.589199182078,1769.589199182078,408.55024557495653
2022-01-07T00:00:00Z,1772.6446499648973,2500,-1555.5224756314637,-1555.5224756314637,-1555.5224756314637,0,0,0,0,0,0,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1237.8763048441522,-1237.8763048441522,-1237.8763048441522,0,0,0,0,0,0,0,0,0,-1010.8649535197098,-1010.8649535197098,-1010.8649535197098,0,0,0,0,0,0,797.8776093269238,797.8776093269238,797.8776093269238,-104.6588265945255,-104.6588265945255,-104.6588265945255,0,0,0,-1267.4921382068464,1699.6296000780549,1772.6446499648973,1772.6446499648973,217.12217433343358
2022-01-08T00:00:00Z,1775.6925507936844,2500,-2525.8109593606437,-2525.8109593606437,-2525.8109593606437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-864.9460681733175,-864.9460681733175,-864.9460681733175,0,0,0,0,0,0,-1475.297209522197,-1475.297209522197,-1475.297209522197,-185.56768166512936,-185.56768166512936,-185.56768166512936,0,0,0,-2307.650353841374,755.3924407296722,1775.6925507936844,1775.6925507936844,-750.1184085669593
2022-01-09T00:00:00Z,1778.7328764586093,2500,-3059.7363747340146,-3059.7363747340146,-3059.7363747340146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-734.6666868998569,-734.6666868998569,-734.6666868998569,0,0,0,0,0,0,-2063.7819347601435,-2063.7819347601435,-2063.7819347601435,-261.2877530740133,-261.2877530740133,-261.2877530740133,0,0,0,-2741.7508689796164,194.49892859669194,1778.7328764586093,1778.7328764586093,-1281.0034982754053
2022-01-10T00:00:00Z,1781.765602139558,2500,-599.3221883545491,-599.3221883545491,-599.3221883545491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-668.0095059523367,-668.0095059523367,-668.0095059523367,0,0,0,0,0,0,399.19896544789896,399.19896544789896,399.19896544789896,-330.5116478501117,-330.5116478501117,-330.5116478501117,0,0,0,-316.4888713728022,2681.324808503018,1781.765602139558,1781.765602139558,1182.443413785009
