y,ds,yhat,yhat_lower,yhat_upper,cutoff
90,2025-01-01T00:00:00Z,4095.503390901725,2259.5287201043807,6013.1462655481755,2024-12-31T00:00:00Z
541,2025-01-02T00:00:00Z,2253.1822027252265,294.8003285618576,4195.511201541419,2024-12-31T00:00:00Z
563,2025-01-03T00:00:00Z,1152.5289199198837,-710.3915075551794,3048.751602214607,2024-12-31T00:00:00Z
42,2025-01-04T00:00:00Z,-1043.5396808411192,-2872.5383401199774,872.3749045253406,2024-12-31T00:00:00Z
22,2025-01-05T00:00:00Z,-1137.7022905128333,-3055.258895525041,658.0830100790645,2024-12-31T00:00:00Z
533,2025-01-06T00:00:00Z,1504.4046573050393,-516.5103026185357,3391.3880906887853,2024-12-31T00:00:00Z
712,2025-01-07T00:00:00Z,2042.9504043321442,233.13552300291443,3729.7018088300892,2024-12-31T00:00:00Z
904,2025-01-08T00:00:00Z,1850.130716913357,6.116053726755388,3651.1053088332014,2024-12-31T00:00:00Z
1135,2025-01-09T00:00:00Z,1773.40878883788,-90.32710155816802,3637.842957869737,2024-12-31T00:00:00Z
1270,2025-01-10T00:00:00Z,1814.021955223033,-59.177844276267805,3690.551695320789,2024-12-31T00:00:00Z
203,2025-01-11T00:00:00Z,-118.92957386588432,-2123.6242742885897,1572.1453823288964,2024-12-31T00:00:00Z
41,2025-01-12T00:00:00Z,-554.2147040549999,-2243.0373688969453,1217.4512377056274,2024-12-31T00:00:00Z
1313,2025-01-13T00:00:00Z,1704.7967551216489,-398.83779684804375,3644.1965013762597,2024-12-31T00:00:00Z
1609,2025-01-14T00:00:00Z,2224.0888750835525,354.47927983988245,3964.6693011547973,2024-12-31T00:00:00Z
2010,2025-01-15T00:00:00Z,2347.683265517971,597.6164527766847,4201.465071252093,2024-12-31T00:00:00Z
2206,2025-01-16T00:00:00Z,2574.601189425946,645.860591647662,4358.730767175143,2024-12-31T00:00:00Z
2291,2025-01-17T00:00:00Z,2613.962073055198,767.9891077707874,4526.541409860402,2024-12-31T00:00:00Z
401,2025-01-18T00:00:00Z,419.7360418032172,-1355.8752713629403,2071.4705088230703,2024-12-31T00:00:00Z
129,2025-01-19T00:00:00Z,-223.620910225005,-2121.269715352977,1738.2387807362898,2024-12-31T00:00:00Z
2385,2025-01-20T00:00:00Z,2129.9825421488476,230.82148528590915,3996.1651466513817,2024-12-31T00:00:00Z
3051,2025-01-21T00:00:00Z,2972.7507809461567,1198.0162698205959,4750.072326412718,2024-12-31T00:00:00Z
2878,2025-01-22T00:00:00Z,3325.4906736273256,1499.984298961508,5220.990600868765,2024-12-31T00:00:00Z
4853,2025-01-23T00:00:00Z,3454.9862376086962,1538.70891920312,5314.944968407417,2024-12-31T00:00:00Z
5202,2025-01-24T00:00:00Z,3204.2037336469184,1424.2194567674792,5045.141453300087,2024-12-31T00:00:00Z
1624,2025-01-25T00:00:00Z,956.2584551089421,-867.9993173804562,2831.012625675765,2024-12-31T00:00:00Z
454,2025-01-26T00:00:00Z,843.948224989457,-926.1426822591593,2630.5613469249793,2024-12-31T00:00:00Z
5598,2025-01-27T00:00:00Z,4228.898416779225,2383.449470554839,6091.535618881102,2024-12-31T00:00:00Z
5264,2025-01-28T00:00:00Z,6074.0831433470885,4103.460005599074,7984.755344639597,2024-12-31T00:00:00Z
310,2025-01-29T00:00:00Z,6770.481066300195,4851.3998754447275,8701.170029128894,2024-12-31T00:00:00Z
255,2025-01-30T00:00:00Z,6265.720930207979,4372.489027818237,8039.420411502549,2024-12-31T00:00:00Z
6041,2025-01-31T00:00:00Z,4549.516462756235,2600.369257761551,6326.736604506212,2024-12-31T00:00:00Z
47,2025-02-01T00:00:00Z,215.37855731051604,-1640.895219619987,2125.6499999496104,2025-01-31T00:00:00Z
14,2025-02-02T00:00:00Z,-1666.2479859808827,-3549.618453491726,117.0830688127158,2025-01-31T00:00:00Z
454,2025-02-03T00:00:00Z,259.5902767672478,-1529.9041809302262,1987.3866302528265,2025-01-31T00:00:00Z
626,2025-02-04T00:00:00Z,1149.8906693501954,-676.2283367233946,3007.2911658398707,2025-01-31T00:00:00Z
886,2025-02-05T00:00:00Z,1575.0486238137992,-173.94437465798765,3586.5862947790442,2025-01-31T00:00:00Z
1159,2025-02-06T00:00:00Z,1785.5263248192532,-225.90647151896306,3566.3223438717937,2025-01-31T00:00:00Z
1342,2025-02-07T00:00:00Z,1623.5353227233907,-253.46032488782316,3518.023504399333,2025-01-31T00:00:00Z
301,2025-02-08T00:00:00Z,-638.2487182039995,-2489.1542421645245,1286.3314796829115,2025-01-31T00:00:00Z
54,2025-02-09T00:00:00Z,-1047.8326441880458,-2928.5993290116967,902.9892379850664,2025-01-31T00:00:00Z
1577,2025-02-10T00:00:00Z,1546.846574985757,-509.61853245069,3469.6822870505343,2025-01-31T00:00:00Z
