ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,holidays,holidays_lower,holidays_upper,MCO_1,MCO_1_lower,MCO_1_upper,MCO_2,MCO_2_lower,MCO_2_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2010-01-01T00:00:00Z,1824.370033466565,-1502.6465719067699,-1502.6465719067699,-1502.6465719067699,0,0,0,0,0,0,-1621.240424557823,-1621.240424557823,-1621.240424557823,0,0,0,0,0,0,-1621.240424557823,-1621.240424557823,-1621.240424557823,-740.2838316537855,-740.2838316537855,-740.2838316537855,0,0,0,672.9087064420032,672.9087064420032,672.9087064420032,185.96897786283506,185.96897786283506,185.96897786283506,0,0,0,-1407.8693490405606,2129.250946840355,1824.370033466565,1824.370033466565,321.72346155979517
2010-01-03T00:00:00Z,1824.558606620538,-2299.6253307504358,-2299.6253307504358,-2299.6253307504358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-657.1169214795725,-657.1169214795725,-657.1169214795725,0,0,0,-1716.072455490118,-1716.072455490118,-1716.072455490118,73.56404621925519,73.56404621925519,73.56404621925519,0,0,0,-2190.2838818559703,1408.7261412727264,1824.558606620538,1824.558606620538,-475.0667241298977
2010-01-04T00:00:00Z,1824.652893197525,-198.738901074252,-198.738901074252,-198.738901074252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-529.5955829597726,-529.5955829597726,-529.5955829597726,0,0,0,313.36318408342805,313.36318408342805,313.36318408342805,17.49349780209245,17.49349780209245,17.49349780209245,0,0,0,-172.7188253246672,3420.3614807663935,1824.652893197525,1824.652893197525,1625.913992123273
2010-01-05T00:00:00Z,1824.7471797745116,139.9198093038089,139.9198093038089,139.9198093038089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-402.3324368795468,-402.3324368795468,-402.3324368795468,0,0,0,579.2840301317832,579.2840301317832,579.2840301317832,-37.03178394842747,-37.03178394842747,-37.03178394842747,0,0,0,195.08721785951633,3772.884567722285,1824.7471797745116,1824.7471797745116,1964.6669890783205
2010-01-06T00:00:00Z,1824.8414663514982,261.7736576502795,261.7736576502795,261.7736576502795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-329.6762454824806,-329.6762454824806,-329.6762454824806,0,0,0,680.3910074682651,680.3910074682651,680.3910074682651,-88.94110433550482,-88.94110433550482,-88.94110433550482,0,0,0,376.23932578813213,3927.2176463368996,1824.8414663514982,1824.8414663514982,2086.6151240017775
2010-01-07T00:00:00Z,1824.9357529284848,353.1501525118831,353.1501525118831,353.1501525118831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-314.93428675135885,-314.93428675135885,-314.93428675135885,0,0,0,805.2961840643395,805.2961840643395,805.2961840643395,-137.2117448010974,-137.2117448010974,-137.2117448010974,0,0,0,384.9185109628119,4069.88209516696,1824.9357529284848,1824.9357529284848,2178.085905440368
2010-01-08T00:00:00Z,1825.0300395054714,185.21377027539768,185.21377027539768,185.21377027539768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-306.8017189614977,-306.8017189614977,-306.8017189614977,0,0,0,672.9087064405835,672.9087064405835,672.9087064405835,-180.89321720368818,-180.89321720368818,-180.89321720368818,0,0,0,108.53033677912055,3928.710807499492,1825.0300395054714,1825.0300395054714,2010.243809780869
2010-01-10T00:00:00Z,1825.2186126594447,-2108.336178120128,-2108.336178120128,-2108.336178120128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-141.08100987980274,-141.08100987980274,-141.08100987980274,0,0,0,-1716.072455490945,-1716.072455490945,-1716.072455490945,-251.18271274938016,-251.18271274938016,-251.18271274938016,0,0,0,-2144.2351834918427,1540.059878725619,1825.2186126594447,1825.2186126594447,-283.1175654606832
2010-01-11T00:00:00Z,1825.3128992364313,7.642079684507142,7.642079684507142,7.642079684507142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.275532629197006,-29.275532629197006,-29.275532629197006,0,0,0,313.3631840806069,313.3631840806069,313.3631840806069,-276.44557176690284,-276.44557176690284,-276.44557176690284,0,0,0,-110.4518411057202,3673.412921334866,1825.3128992364313,1825.3128992364313,1832.9549789209384
2010-01-12T00:00:00Z,1825.407185813418,324.99622923004347,324.99622923004347,324.99622923004347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.17454598184036,40.17454598184036,40.17454598184036,0,0,0,579.2840301317408,579.2840301317408,579.2840301317408,-294.4623468835377,-294.4623468835377,-294.4623468835377,0,0,0,367.68179185969336,3989.5915999623176,1825.407185813418,1825.407185813418,2150.4034150434613
2010-01-13T00:00:00Z,1825.5014723904046,462.92127850222636,462.92127850222636,462.92127850222636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.46798576541742,87.46798576541742,87.46798576541742,0,0,0,680.3910074686102,680.3910074686102,680.3910074686102,-304.93771473180124,-304.93771473180124,-304.93771473180124,0,0,0,497.1918045720706,4070.225566600206,1825.5014723904046,1825.5014723904046,2288.422750892631
