y,ds,yhat,yhat_lower,yhat_upper,cutoff
90,2025-01-01T00:00:00Z,2894.5043225563154,1002.088258426331,4616.4049181049395,2024-12-31T00:00:00Z
541,2025-01-02T00:00:00Z,2571.957016618499,750.3610067451532,4325.8212397407215,2024-12-31T00:00:00Z
563,2025-01-03T00:00:00Z,1356.2552911917885,-385.61210648638314,3183.049901262175,2024-12-31T00:00:00Z
42,2025-01-04T00:00:00Z,-873.893382354393,-2622.7553294756335,804.9607674884629,2024-12-31T00:00:00Z
22,2025-01-05T00:00:00Z,-992.1694255064817,-2743.1224648669895,613.4524266265636,2024-12-31T00:00:00Z
533,2025-01-06T00:00:00Z,1780.6497505697425,39.1911246546361,3565.8487917761727,2024-12-31T00:00:00Z
712,2025-01-07T00:00:00Z,2023.9762421633209,429.4192921728603,3789.8201909479885,2024-12-31T00:00:00Z
904,2025-01-08T00:00:00Z,1871.0182372726072,107.22960790962219,3526.948303503105,2024-12-31T00:00:00Z
1135,2025-01-09T00:00:00Z,1784.0149132551649,82.76328628987774,3399.5335140196894,2024-12-31T00:00:00Z
1270,2025-01-10T00:00:00Z,1785.0764841511068,73.84291898162914,3389.8619847459986,2024-12-31T00:00:00Z
203,2025-01-11T00:00:00Z,-110.4928322219289,-1965.0781402602775,1740.7818047373703,2024-12-31T00:00:00Z
41,2025-01-12T00:00:00Z,-534.265898526588,-2240.015343337271,1320.5679791311545,2024-12-31T00:00:00Z
1313,2025-01-13T00:00:00Z,1859.987819397421,16.526739830839215,3667.7047246120146,2024-12-31T00:00:00Z
1609,2025-01-14T00:00:00Z,2086.202661492452,387.73305068579725,3834.5381652741585,2024-12-31T00:00:00Z
2010,2025-01-15T00:00:00Z,2270.8253559350364,487.10424037047125,4086.382886263281,2024-12-31T00:00:00Z
2206,2025-01-16T00:00:00Z,2522.2273063880953,710.2893741301865,4341.970909764391,2024-12-31T00:00:00Z
2291,2025-01-17T00:00:00Z,2547.345111837711,678.5783883439778,4192.466046197276,2024-12-31T00:00:00Z
401,2025-01-18T00:00:00Z,392.23805627642105,-1297.7067658079177,2158.665931217511,2024-12-31T00:00:00Z
129,2025-01-19T00:00:00Z,-250.00952398402023,-1908.1820971062336,1312.251742671859,2024-12-31T00:00:00Z
2385,2025-01-20T00:00:00Z,2243.6994046514496,380.0534362831255,3846.3254726327946,2024-12-31T00:00:00Z
3051,2025-01-21T00:00:00Z,2831.2073084986464,1113.176579850902,4439.173561684649,2024-12-31T00:00:00Z
2878,2025-01-22T00:00:00Z,3307.391595277893,1624.7461016505983,5119.549967198654,2024-12-31T00:00:00Z
4853,2025-01-23T00:00:00Z,3522.467821931277,1717.7867565992033,5307.458791144465,2024-12-31T00:00:00Z
5202,2025-01-24T00:00:00Z,3297.633689009097,1661.7109181618923,5033.019219759012,2024-12-31T00:00:00Z
1624,2025-01-25T00:00:00Z,1110.06200963175,-710.1590945483927,2833.239719746135,2024-12-31T00:00:00Z
454,2025-01-26T00:00:00Z,1016.8767262557874,-721.1388193018729,2715.708039293574,2024-12-31T00:00:00Z
5598,2025-01-27T00:00:00Z,4564.816344026947,2845.6788347413963,6261.743130276062,2024-12-31T00:00:00Z
