ds,trend,additive_terms,additive_terms_lower,additive_terms_upper,Christmas,Christmas_lower,Christmas_upper,CNY,CNY_lower,CNY_upper,holidays,holidays_lower,holidays_upper,MCO_1,MCO_1_lower,MCO_1_upper,MCO_2,MCO_2_lower,MCO_2_upper,Minor_PH,Minor_PH_lower,Minor_PH_upper,monthly,monthly_lower,monthly_upper,Raya_AA,Raya_AA_lower,Raya_AA_upper,Raya_AF,Raya_AF_lower,Raya_AF_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
2022-01-01T00:00:00Z,2100.438838694809,-4772.668157368457,-4772.668157368457,-4772.668157368457,0,0,0,0,0,0,-1767.1012203123178,-1767.1012203123178,-1767.1012203123178,0,0,0,0,0,0,-1767.1012203123178,-1767.1012203123178,-1767.1012203123178,-1931.3119433298848,-1931.3119433298848,-1931.3119433298848,0,0,0,0,0,0,-1466.1415354212077,-1466.1415354212077,-1466.1415354212077,391.8865416949529,391.8865416949529,391.8865416949529,0,0,0,-4590.681672986578,-718.2168869737567,2100.438838694809,2100.438838694809,-2672.2293186736483
2022-01-02T00:00:00Z,2101.0587650477078,-3529.885836275504,-3529.885836275504,-3529.885836275504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1762.1046002788821,-1762.1046002788821,-1762.1046002788821,0,0,0,0,0,0,-2070.3301563873624,-2070.3301563873624,-2070.3301563873624,302.54892039074144,302.54892039074144,302.54892039074144,0,0,0,-3358.7970544781524,464.36848817921947,2101.0587650477078,2101.0587650477078,-1428.8270712277963
2022-01-03T00:00:00Z,2101.6786914006066,-778.6849556172092,-778.6849556172092,-778.6849556172092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1394.7988476535115,-1394.7988476535115,-1394.7988476535115,0,0,0,0,0,0,407.34003320160514,407.34003320160514,407.34003320160514,208.77385883469708,208.77385883469708,208.77385883469708,0,0,0,-688.2008198764422,3258.336414590697,2101.6786914006066,2101.6786914006066,1322.9937357833974
2022-01-04T00:00:00Z,2102.298617753506,-368.2128012200429,-368.2128012200429,-368.2128012200429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1232.3062569434337,-1232.3062569434337,-1232.3062569434337,0,0,0,0,0,0,751.870817688976,751.870817688976,751.870817688976,112.2226380344148,112.2226380344148,112.2226380344148,0,0,0,-305.2970559307927,3530.6552188899027,2102.298617753506,2102.298617753506,1734.085816533463
2022-01-05T00:00:00Z,2102.918544106404,-505.2021620023612,-505.2021620023612,-505.2021620023612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1305.4384952859543,-1305.4384952859543,-1305.4384952859543,0,0,0,0,0,0,785.6068199372681,785.6068199372681,785.6068199372681,14.629513346324885,14.629513346324885,14.629513346324885,0,0,0,-322.4109691826859,3414.680870733292,2102.918544106404,2102.918544106404,1597.716382104043
2022-01-06T00:00:00Z,2103.5384704593034,-643.2378888933281,-643.2378888933281,-643.2378888933281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1373.1750608733234,-1373.1750608733234,-1373.1750608733234,0,0,0,0,0,0,812.1740657440398,812.1740657440398,812.1740657440398,-82.23689376404486,-82.23689376404486,-82.23689376404486,0,0,0,-502.135405827916,3324.3548280727678,2103.5384704593034,2103.5384704593034,1460.3005815659753
2022-01-07T00:00:00Z,2104.1583968122018,-632.8162285676115,-632.8162285676115,-632.8162285676115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1235.6827915481128,-1235.6827915481128,-1235.6827915481128,0,0,0,0,0,0,779.4799552303983,779.4799552303983,779.4799552303983,-176.61339224989658,-176.61339224989658,-176.61339224989658,0,0,0,-553.9117456276605,3333.083536436559,2104.1583968122018,2104.1583968122018,1471.3421682445903
2022-01-08T00:00:00Z,2104.778323165101,-2671.3631402645856,-2671.3631402645856,-2671.3631402645856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-938.4393691925329,-938.4393691925329,-938.4393691925329,0,0,0,0,0,0,-1466.14153541413,-1466.14153541413,-1466.14153541413,-266.782235657922,-266.782235657922,-266.782235657922,0,0,0,-2501.192454530652,1384.74609205505,2104.778323165101,2104.778323165101,-566.5848170994846
2022-01-09T00:00:00Z,2105.3982495180003,-3115.3835336078473,-3115.3835336078473,-3115.3835336078473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-693.9430076980467,-693.9430076980467,-693.9430076980467,0,0,0,0,0,0,-2070.330156386774,-2070.330156386774,-2070.330156386774,-351.11036952302686,-351.11036952302686,-351.11036952302686,0,0,0,-2874.2354211748907,922.0298589420537,2105.3982495180003,2105.3982495180003,-1009.985284089847
2022-01-10T00:00:00Z,2106.0181758708986,-660.8163630973492,-660.8163630973492,-660.8163630973492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-640.0694572988513,-640.0694572988513,-640.0694572988513,0,0,0,0,0,0,407.3400332033373,407.3400332033373,407.3400332033373,-428.0869390018354,-428.0869390018354,-428.0869390018354,0,0,0,-587.422985567661,3432.4333774383313,2106.0181758708986,2106.0181758708986,1445.2018127735496
